covariate,mean_treated,mean_control,smd,abs_smd,variance_ratio
f0,19.614755,19.651705,-0.006866,0.006866,0.995348
f1,10.070336,10.067935,0.023994,0.023994,1.316448
f2,8.446302,8.448173,-0.006241,0.006241,0.989375
f3,4.169412,4.232821,-0.048836,0.048836,1.185681
f4,10.339245,10.336526,0.007966,0.007966,1.032354
f5,4.026602,4.039339,-0.030557,0.030557,1.220884
f6,-4.182792,-3.99988,-0.040448,0.040448,1.07285
f7,5.105555,5.080284,0.02127,0.02127,1.086321
f8,3.933392,3.934652,-0.022433,0.022433,1.052023
f9,16.052589,15.886252,0.024001,0.024001,1.076103
f10,5.33366,5.331898,0.010563,0.010563,1.051299
f11,-0.170985,-0.170868,-0.00516,0.00516,1.03734
